id_idrecco,Status_2022,project_name,secondary_name,country name,last_full_update_yr,area,starting_year,ending_year,duration,project_description,project_objective1,project_objective2,project_objective3,deforestation_driver,forest_type,project_type,dominant_type,precision_ar_type,protected_area,pa_name,pa_size,pa_proportion,country,FPIC,participatory_approach,location_details,legal_tenure,customary_use,contested,carbon_general_ND,carbon_credits_ND,financing_ND,communities_ND,Longitude,Latitude,Multiple locations,Region,jurisdiction_level1,jurisdiction_level2,crediting_period,er_period_calculation,annual_carbon_credits,total_carbon_credits,emission_reduction_buffer,emission_reduction_net,emission_reduction_gross,emission_leakage,other_emission,leakage_yesno,leakage_belt_perc,carbon_pool,carbon_pool_other,gas_type,gas_type_other,ref_period_start,ref_period_end,additionality_analyses,standard_1,is_certified_1,validation_date_1,standard_report_1,date_expired_1,standard_2,is_certified_2,validation_date_2,standard_report_2,date_expired_2,standard_3,is_certified_3,validation_date_3,standard_report_3,date_expired_3,source_2020,source_2022,monetary_benefit_yn,monetary_benefit_type,monetary_benefit_detail,Direct cash (y/n),employment_yn,employment_amount,non_cash_benefits_yn,non_cash_benefits_describe,economic_activities_list,economic_activities_details,tenure_yn,tenure_describe,education_yn,education_describe,restriction_yn,restriction_describe,enhancement_yn,enhancement_describe,infrastructure_yn,infrastructure_describe,wellbeing_yn
160,Ended,Argentina II,,Argentina,2020,25,ND,2060,50,"In the province Salta a nature reserve will be protected against further degradation and will be partly afforested. Native tree species are going to be planted.
The afforestation and rehabilitation measures are conducted on the area of the nature reserve which is property of the 'Club Amigos de la Montana'. The nature reserve is in about 26km distance from the capital city of the province Salta and is located at the shores of a water reservoir in the Andean mountain range.
The project aims for the rehabilitation of the natural vegetation; this goal is coupled with an increase of the biodiversity to its old value and with the carbon sequestration.",biodiversity conservation,climate,ND,ND,ND,ARR,ARR,ecosystem restoration,no,NA,NA,NA,NA,ND,ND,The nature reserve is in about 26km distance from the capital city of the province Salta and is located at the shores of a water reservoir in the Andean mountain range. Coordinates are approximated according to marker on FCP webpage,private,private,ND,few data or bad quality,ND,ND,ND,-65.011334,-24.688492,No,South America,Province : Chaco. Salta. and Santiago de Estero,ND,2011-2060,,,635,0,0,0,0,0,ND,ND,ND,ND,ND,ND,ND,ND,ND,internal,can't confirm,ND,ND,44078,none,ND,ND,ND,ND,none,ND,ND,ND,ND,"http://www.forestcarbonportal.com/project/argentina-ii ;

http://www.prima-klima-weltweit.de/aufforstung/realisierte-projekte.php#arg

https://www.primaklima.org/ueber-uns/unsere-projekte/","http://www.forestcarbonportal.com/project-list;

http://www.prima-klima-weltweit.de/aufforstung/realisierte-projekte.php#arg

https://www.primaklima.org/ueber-uns/unsere-projekte/",ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
875,Ended,Patagonia Verde,,Argentina,2020,4000,ND,ND,ND,"The main purposes of the afforestation activities are carbon sequestration and support for sustainable development in the region. Several local landowners have planted about 4000 hectares of degraded
rangeland and aims to certify firstly 190 ha under Gold Standard",biodiversity conservation,climate,ND,cattle grazing,ND,ARR,ARR,ecosystem restoration,no,NA,NA,NA,NA,ND,ND,Patagonia,,,,few data or bad quality,ND,few data or bad quality,ND,-70.817311,-44.990069,Yes,South America,,,2015-9999,,,ND,0,0,0,0,0,ND,ND,ND,ND,ND,ND,ND,ND,ND,Gold Standard,in process,ND,https://registry.goldstandard.org/projects/details/1689,ND,none,ND,ND,ND,ND,none,ND,ND,ND,ND,"https://registry.goldstandard.org/projects/details/1689

https://impact.sustain-cert.com/public_projects/1711

https://global-woods-international.com/argentinien-patagonia-verde.html","https://registry.goldstandard.org/projects/details/1689

https://impact.sustain-cert.com/public_projects/1711

https://global-woods-international.com/argentinien-patagonia-verde.html",ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
153,Ended,Noel Kempff Mercado Climate Action Project,NK-CAP,Bolivia. Plurinational State of,2020,832000,ND,2026,30,"The Noel Kempff Mercado Climate Action Project (NK-CAP) is preserving the rich. biologically diverse ecosystems of northeastern Bolivia’s Noel Kempff Mercado National Park while preventing the release of CO2 into the atmosphere.
NK- CAP was one of the world’s first large-scale REDD projects. and is addressing the drivers of both D’s in
REDD: deforestation from conversion to agriculture by local communities anddegradation from logging activities in timber concessions. The project implements activities such as fire prevention. biodiversity monitoring. and supporting income generating activities such as community forestry and microenterprise. 
Investments from three energy companies helped to fund project activities. in exchange for rights to a share of the verified carbon benefits generated by NK- CAP.",climate,biodiversity conservation,social development,industrial wood exploitation. slash and burn agriculture,dry|humid,REDD,REDD,NA,yes,Noel Kempff Mercado National Park,832000,100%,2,no,yes,Northeastern Bolivia. northeastern section of the Department of Santa Cruz. Bolivia. in the Province of Velasco. Coordinates set for approx. center of plot according to greenpeace document,state,communities,ND,good data,good data,good data,good data,-60.454394,-16.232708,No,South America,Department : Santa Cruz,Province : Velasco,1997-2026,,,5838813,5838813,5838813,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,internal,certified,38657,ND,ND,none,ND,ND,ND,ND,none,ND,ND,ND,ND,"http://www.forestcarbonportal.com/project/noel-kempff-mercado-climate-action-project;

http://www.greenpeace.org/international/Global/international/planet-2/report/2009/10/noel-kempff-mercado-climate-ac.pdf;","Accessible Jun 2023
2023 article - end of project timeline: https://www.belfercenter.org/publication/noel-kempff-mercado-climate-action-project
2009 article: http://www.greenpeace.org/international/Global/international/planet-2/report/2009/10/noel-kempff-mercado-climate-ac.pdf

Not accessible Jun 2023:
http://www.forestcarbonportal.com/project/noel-kempff-mercado-climate-action-project;",Yes,Non-conditional,The project hires local people for operation,n,Yes,20-50,Yes,Training in sustainable community forestry | ,ecotourism | microenterprise | processing and commercialization,Sustainable forestry and timber processing |  Ecotourism attempted but largely failed due to remote location |  Biotrade company attempted but also failed due to low returns.,ND,ND,ND,ND,ND,ND,ND,ND,No,Check,Yes
229,Ended,Sustainable settlements in the Amazon,Desmatamento Evitado em Pequenas Propriedades Rurais na Região da Rodovia Transamazônica; Avoided Deforestation in SmallHouseholdsIn Transamazon road,Brazil,2018,31745,ND,2017,10,"The project’s objective is to transform the historic model of development for rural properties in the region. currently based on slash and burn agriculture with low productivity and minimal value added production. into a model that primarily involves improvements in agricultural and ranching practices through technical assistance. production technologies and infrastructure. increasing family incomes and decreasing pressures for new deforestation.
In other areas. the project intends to promote relevant changes to the local development through five main activities: promoting the regularization of the land tenure. improving agricultural practices and forest management. strengthening local organizations. and providing monitoring and deforestation indicators to the region.",biodiversity conservation,social development,ND,cattle grazing. fire. local livelihoods. slash and burn agriculture,humid,IFM|REDD,REDD,NA,no,NA,NA,NA,NA,no,yes,Western Pará State. Not enough data to input coordinates,state,private and communities,no,few data or bad quality,ND,few data or bad quality,good data,ND,ND,Non,South America,State : Pará,Municipality : Altamira,ND,,,1568477,0,0,0,0,0,ND,ND,ND,ND,ND,ND,ND,ND,ND,none,ND,ND,ND,ND,none,ND,ND,ND,ND,none,ND,ND,ND,ND,"http://www.theredddesk.org/countries/brazil/info/activity/avoided_deforestation_on_small_rural_properties_in_the_region_of_the_transamazon_highway (not accessible as of august. 2014); 

http://www.ipam.org.br/biblioteca/livro/id/250;

http://www.planet-action.org/web/85-project-detail.php?projectID=7023","http://www.theredddesk.org/countries/brazil/info/activity/avoided_deforestation_on_small_rural_properties_in_the_region_of_the_transamazon_highway (not accessible as of august. 2014); 

http://www.ipam.org.br/biblioteca/livro/id/250 (not accessible. Aug 2023);

http://www.planet-action.org/web/85-project-detail.php?projectID=7023 (not accessible. Aug 2023)",Yes,Unclear,based on the opportunity cost. estimated at R$ 436.99 per year per ha : 13123437.49 for the 350 families and for 10 years,ND,Yes,ND,Yes,No detail information is provided,agriculture | conservation agriculture | economic interest groups | processing and commercialization,improvement of livestock practices |  strengthening local organizations with training in project management,No,Tenure clarification not mentioned,Yes,Meetings to discuss environmental legislation. land tenure regularization and related topics  | ,Yes,Elaboration of CAR (IPAM. municipal govts. FVPP. EMATER and other private institutions) | Property use plan (IPAM and FVPP) | ,Yes,through the restoration of Permanent Protected Areas (APP),No,Infrastructure development not described,No
242,Ended,Portal Seeds Project,Sementes Do Portal,Brazil,2020,ND,ND,ND,ND,The objective of the project is to guarantee access to natural resources and sustainable development through family agricultural practices. The activities include the diffusion of agroforestry systems which combine the sustainable use of the forest with income generation. The project also includes a component on capacity building for the indigenous communities to collect the seeds that will be used in the agroforestry systems. The project aims to recover 1.200 hectares of degraded areas (restoration of permanent preservation areas and legal reserves) and rescuing of family farming through the introduction of agroforestry systems.,development. social development,biodiversity conservation,ND,ND,ND,ARR,ARR,agroforestry. ecosystem restoration,no,NA,NA,NA,NA,no,ND,north of Mato Grosso. 8 municipalities in the region. Coordinates set for the Nova Guarita municipalities . approx. middle of all the plots,state,ND,ND,ND,ND,good data,ND,-56.254316,-11.677839,Yes,South America,State : Mato Grosso,Municipality : Nova Guarita,ND,,,ND,0,0,0,0,0,ND,ND,ND,ND,ND,ND,ND,ND,ND,none,ND,ND,ND,ND,none,ND,ND,ND,ND,none,ND,ND,ND,ND,"http://www.theredddesk.org/countries/brazil/info/activity/portal_seeds_project (NB: the link is no longer working).;

http://www.sementesdoportal.com.br/","http://www.theredddesk.org/countries/brazil/info/activity/portal_seeds_project (NB: the link is no longer working).;

http://www.sementesdoportal.com.br/ (not accessible. Aug 2023)",ND,ND,ND,ND,ND,ND,ND,ND,agroforestry,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
243,Ended,TNC project,Virada Verde (Going green),Brazil,2020,ND,ND,ND,ND,This project implemented by The Nature Conservancy will invest in mobilizing communities (associations. syndicates. rural producers and also state and federal government) in 12 municipalities. 7 in Mato Grosso and 5 in Pará. that are interested in participating in the CAR - Cadastro Ambiental Rural (Rural Environmental Registry) and and carrying out deforestation monitoring through satellite imagery. The project will incentivize the environmental regulation of the wood. cattle and soy beans production chain. which are believed to be causing deforestation. The rural producers will participate in data collection through field research and remote sensing.,development. social development,ND,ND,illegal logging. industrial agriculture or cattle ranching,ND,REDD,REDD,NA,no,NA,NA,NA,NA,no,ND,12 municipalities located in two states: Mato Grosso (7) and Para (5). Coordinates set for Tapurah in Mato Grosso,state,private and communities,ND,ND,ND,good data,ND,-56.40285,-12.464608,Yes,South America,States : Pará and Mato Grosso,Municipality : Tapurah,ND,,,ND,0,0,0,0,0,ND,ND,ND,ND,ND,ND,ND,ND,ND,CCB,ND,ND,ND,ND,none,ND,ND,ND,ND,none,ND,ND,ND,ND,"http://www.theredddesk.org/countries/brazil/info/resources/organisations/the_nature_conservancy_brazil (no longer working);
http://www.amazonfund.gov.br/FundoAmazonia/fam/site_en/Esquerdo/Projetos/2011_04_14_TNC_THE_NATURE_CONSERVANCY.html","http://www.theredddesk.org/countries/brazil/info/resources/organisations/the_nature_conservancy_brazil (no longer working);
http://www.amazonfund.gov.br/FundoAmazonia/fam/site_en/Esquerdo/Projetos/2011_04_14_TNC_THE_NATURE_CONSERVANCY.html (not accessible. Aug 20230)",ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
251,Ended,The Monte Pascoal - Pau Brasil Ecological Corridor: Carbon. Community & Biodiversity Initiative,,Brazil,2020,17,ND,2032,30,This project aims to establish a biodiversity corridor that will join two large sections of Atlantic Forest (a global biodiversity hotspot) - the Pau Brasil National and the Monte Pascoal National Park. Reforestation scheme aiming at the establishment of a corridor that will join two significant protected fragments of Atlantic Forest: the Pau Brasil National Park and the Monte Pascoal National Park. The main purpose of the project activity is to restore the environmental integrity of the area.,biodiversity conservation,climate,social development,industrial wood exploitation. infrastructure,humid,ARR,ARR,ecosystem restoration,no,NA,NA,NA,NA,no,yes,"District of Monte. Bahia State
Pascoal. Coordinates set for Bahia. not precise location of project",private,private,ND,good data,ND,few data or bad quality,good data,-40.551324,-13.638033,No,South America,State : Bahia,Municipality : Jequié,2002-2032,,,5044,0,0,0,0,0,ND,ND,ND,ND,ND,ND,ND,ND,ND,CCB,expired,40108,http://www.climate-standards.org/2008/03/18/the-monte-pascoal-pau-brasil-ecological-corridor/,ND,none,ND,ND,ND,ND,none,ND,ND,ND,ND,"http://www.theredddesk.org/countries/brazil/info/activity/the_monte_pascoal_pau_brasil_ecological_corridor_carbon_community_biodiversity_initiative (not accessible as of august. 2014);
http://www.climate-standards.org/2008/03/18/the-monte-pascoal-pau-brasil-ecological-corridor/;
https://s3.amazonaws.com/CCBA/Projects/The_Monte_Pascoal-Pau_Brasil_Ecological_Corridor/cpa_dd_caraiva.pdf;
http://www.nature.org/ourinitiatives/regions/southamerica/brazil/explore/project-certified-for-fighting-climate-change.xml;","http://www.theredddesk.org/countries/brazil/info/activity/the_monte_pascoal_pau_brasil_ecological_corridor_carbon_community_biodiversity_initiative (not accessible as of august. 2014);
http://www.climate-standards.org/2008/03/18/the-monte-pascoal-pau-brasil-ecological-corridor/;
https://s3.amazonaws.com/CCBA/Projects/The_Monte_Pascoal-Pau_Brasil_Ecological_Corridor/cpa_dd_caraiva.pdf;
http://www.nature.org/ourinitiatives/regions/southamerica/brazil/explore/project-certified-for-fighting-climate-change.xml (not accessible. Aug 2023);",Yes,Conditional,Redistribution of most of the resources obtained from the sale of carbon credits to local agents.,ND,Yes,20-50,Yes,Annual participative action-research workshops |  provide valuable technical skills to the local communities,ND,Creation of job opportunities (aim=50 in the first 4 years. US$ 1.9M for local salaries) and income for communities exposed to social risks,No,Tenure clarification not mentioned,Yes,transfer of knowledge and capacity building for local agents through workshops. courses. and internship and exchange activities,No,ND,Yes,planting of native tree species and assisted natural regeneration on Monte Pascoal Farm in the municipality of Itabela,No,Infrastructure development not described,Yes
256,Ended,Olhos d'água da Amazônia,,Brazil,2020,ND,ND,2014,3,The project's objective is to support the strengthening of environmental management in the municipality of Alta Floresta. The project aims to achieve this goal through an environmental diagnosis of the municipality. promotion of the registration of rural properties in the Rural Environmental Registry (CAR) and restoration of degraded areas next to water springs.,biodiversity conservation,social development,ND,cattle grazing. illegal logging,ND,IFM|REDD,REDD,NA,no,NA,NA,NA,NA,no,ND,State of Mato Grosso. municipality of Alta Floresta. Coordinates set for Alta Floresta. not precise location of plot,state,state and communities,ND,ND,ND,good data,good data,-56.101206,-9.865694,No,South America,State : Mato Grosso,Municipality : Alta,ND,,,ND,0,0,0,0,0,ND,ND,ND,ND,ND,ND,ND,ND,ND,none,ND,ND,ND,ND,none,ND,ND,ND,ND,none,ND,ND,ND,ND,"http://www.theredddesk.org/countries/brazil/info/activity/olhos_dagua_da_amazonia (not accessible as of august. 2014);

http://www.fundoamazonia.gov.br/FundoAmazonia/fam/site_pt/Esquerdo/Projetos_Apoiados/Lista_Projetos/Alta_Floresta;","http://www.theredddesk.org/countries/brazil/info/activity/olhos_dagua_da_amazonia (not accessible as of august. 2014);

http://www.fundoamazonia.gov.br/FundoAmazonia/fam/site_pt/Esquerdo/Projetos_Apoiados/Lista_Projetos/Alta_Floresta (not accessible. Aug 2023);",ND,ND,ND,ND,ND,ND,Yes,Workshop to train producers in agroforestry systems | ,agroforestry,Implementing 20 demonstrative agroforestry systems (SAFs) and ecological grazing management,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
261,Ended,GENESIS REDD project,Genesis Forest Project: Reducing Greenhouse Gas Emissions from Deforestation and Degradation in the State of Tocantins. Brazil; Genesis Forest Project: Reducing Greenhouse Gas Emissions from Deforestation and Degradation in Tocantins State. Brazil,Brazil,2020,1076,ND,2029,20,The project’s objective is to guarantee the protection of a natural savannah area (cerrado). located in the Serra do Lajeado Environmental Protected Area (APA).,biodiversity conservation,return on investment,social development,fire. infrastructure. local livelihoods. slash and burn agriculture,dry,ARR|REDD,REDD,ND,yes,Sierra Do Lajeado,1076,100%,5,no,no,District of Taquareussu. near the city of Palmas in the state of Tocantins. northern Brazil. Coordinates set for Palmas. not precise location of project,private,private,no,few data or bad quality,good data,few data or bad quality,few data or bad quality,-48.323266,-10.264299,No,South America,State : Tocantins,Municipality : Palmas,ND,,,ND,0,0,0,0,0,ND,ND,ND,ND,ND,ND,ND,ND,ND,CCB,withdrawn,ND,http://www.climate-standards.org/2009/02/13/genesis-forest-project-reducing-greenhouse-gas-emissions-from-deforestation-and-degradation-in-tocatins-state-brazil/,ND,none,ND,ND,ND,ND,none,ND,ND,ND,ND,"http://moderncms.ecosystemmarketplace.com/repository/moderncms_documents/Casebook%20of%20REDD%20Projects%20in%20LA.pdf;
http://www.theredddesk.org/countries/brazil/info/activity/genesis_forest_project_reducing_greenhouse_gas_emissions_from_deforestation_and_degradation (not accessible as of july. 2014);
http://www.forestcarbonportal.com/project/genesis-forest-project-reducing-greenhouse-gas-emissions-deforestation-and-degradation-state;
http://hyundaimods.wordpress.com/the-genesis-forest-project/;
http://green.autoblog.com/2009/05/01/hyundai-genesis-sales-pay-for-forest-preservation-and-restoratio/;https://s3.amazonaws.com/CCBA/Projects/Genesis_Forest_Project_Reducing_Greenhouse_Gas_Emissions_from_Deforestation_and_Degradation_in_Tocantins_State_Brazil/ccba_pdd_tocantins_redd_v_1-WITHDRAWN.pdf; guide ONFI ""REDD+ à l'échelle projet"";","http://moderncms.ecosystemmarketplace.com/repository/moderncms_documents/Casebook%20of%20REDD%20Projects%20in%20LA.pdf;
http://www.theredddesk.org/countries/brazil/info/activity/genesis_forest_project_reducing_greenhouse_gas_emissions_from_deforestation_and_degradation (not accessible as of july. 2014);
http://www.forestcarbonportal.com/project/genesis-forest-project-reducing-greenhouse-gas-emissions-deforestation-and-degradation-state;
http://hyundaimods.wordpress.com/the-genesis-forest-project/;
http://green.autoblog.com/2009/05/01/hyundai-genesis-sales-pay-for-forest-preservation-and-restoratio/;https://s3.amazonaws.com/CCBA/Projects/Genesis_Forest_Project_Reducing_Greenhouse_Gas_Emissions_from_Deforestation_and_Degradation_in_Tocantins_State_Brazil/ccba_pdd_tocantins_redd_v_1-WITHDRAWN.pdf; guide ONFI ""REDD+ à l'échelle projet"";",ND,ND,ND,ND,ND,ND,Yes,educational workshops to promote the production of non-timber products such as oils. native fruits. and honey,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
264,Ended,Restoring the Cantareira water supply system: Carbon. community and biodiversity initiative,Watershed Restoration in the Cantareira Water System: Carbon. Community & Biodiversity Initiative,Brazil,2020,350,ND,2039,30,The project will restore native vegetation to an area of 185.56 ha surrounding the Cachoeira Reservoir. one of five major reservoirs in a water system known as Cantareira that supplies the city of Sao Paulo. Brazil. and its metropolitan area. The Cantareira water system supplies potable water to 9 million people in the city of Sao Paulo. Brazil. and to the largest industrial park in South America.,climate,biodiversity conservation,non timber production,industrial agriculture or cattle ranching. infrastructure,dry,ARR,ARR,ecosystem restoration. plantation,no,NA,NA,NA,NA,no,yes,municipality of Piracaia. in the state of São Paulo. Mato Grosso. Coordinates set for the first reforestation phase. northeast of the Cachoeira reserve as provided by the PDD,private,private,ND,good data,ND,good data,good data,-46.268056,-23.012222,Yes,South America,States : São Paulo and Mato Grosso,Municipality : Piracaia,2009-2039,,,54040,0,904593,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,CCB,expired,41099,http://www.climate-standards.org/2011/06/01/watershed-restoration-in-the-cantareira-water-system-carbon-community-and-biodiversity-initiative/,ND,none,ND,ND,ND,ND,none,ND,ND,ND,ND,"http://www.forestcarbonportal.com/project/restoring-cantareira-water-supply-system-carbon-community-and-biodiversity-initiative;

https://s3.amazonaws.com/CCBA/Projects/Watershed_Restoration_in_the_Cantareira_Water_System%3ACarbon._Community_and_Biodiversity_Initiative/PDD+CPA+Cantareira+Cachoeira_08May11.pdf;

http://www.climate-standards.org/2011/06/01/watershed-restoration-in-the-cantareira-water-system-carbon-community-and-biodiversity-initiative/

http://www.nature.org/about-us/working-with-companies/companies-we-work-with/femsa.xml (not accessible as of September 2020);","http://www.forestcarbonportal.com/project/restoring-cantareira-water-supply-system-carbon-community-and-biodiversity-initiative;

https://s3.amazonaws.com/CCBA/Projects/Watershed_Restoration_in_the_Cantareira_Water_System%3ACarbon._Community_and_Biodiversity_Initiative/PDD+CPA+Cantareira+Cachoeira_08May11.pdf;

http://www.climate-standards.org/2011/06/01/watershed-restoration-in-the-cantareira-water-system-carbon-community-and-biodiversity-initiative/

http://www.nature.org/about-us/working-with-companies/companies-we-work-with/femsa.xml (not accessible as of September 2020);",Yes,Conditional,Municipalities use funds from water users to pay farmers and ranchers who protect or restore riparian forests on their lands. They receive 40$/acre/year.,ND,Yes,20-50,No,Programs related to economic activities,tree planting,2 people employed to manage. 21field workers for local cooperative. paid a wage superior to national average,No,Tenure clarification not mentioned,Yes,technology transfer and dissemination of information regarding climate change,ND,ND,Yes,Reforestation activities to restore native vegetation which will include assisted natural regeneration. collection and planting of seeds. and direct planting of seedlings of native species.,No,Infrastructure development not described,No
