country_name,total_area_ha,number_of_projects,un.country.code,region
Belize,23358,4,84,Latin America & Caribbean
Bolivia. Plurinational State of,832000,1,68,Latin America & Caribbean
Brazil,6463761.19,42,76,Latin America & Caribbean
Cambodia,1040196,4,116,East Asia & Pacific
Cameroon,125900,1,120,Sub-Saharan Africa
Chile,1273,1,152,Latin America & Caribbean
Colombia,12844814.228,45,170,Latin America & Caribbean
Congo,92530,1,178,Sub-Saharan Africa
Congo. the Democratic Republic of the,1206847,7,180,Sub-Saharan Africa
Costa Rica,39522,1,188,Latin America & Caribbean
Ecuador,631310,4,218,Latin America & Caribbean
El Salvador,70000,1,222,Latin America & Caribbean
Ethiopia,376033,2,231,Sub-Saharan Africa
Fiji,2703,1,242,East Asia & Pacific
Ghana,8618.7,4,288,Sub-Saharan Africa
Guatemala,1161333.39,6,320,Latin America & Caribbean
Guinea-Bissau,181200,1,624,Sub-Saharan Africa
Honduras,3202,2,340,Latin America & Caribbean
Indonesia,13265119.3,25,360,East Asia & Pacific
Kenya,665820,8,404,Sub-Saharan Africa
Lao People's Democratic Republic,814200,4,418,East Asia & Pacific
Liberia,47000,1,430,Sub-Saharan Africa
Madagascar,1162407,3,450,Sub-Saharan Africa
Malaysia,0,1,458,East Asia & Pacific
Mexico,9328362,6,484,Latin America & Caribbean
Mozambique,164543,2,508,Sub-Saharan Africa
Nepal,10364,1,524,South Asia
Nicaragua,273461,1,558,Latin America & Caribbean
Panama,65000,1,591,Latin America & Caribbean
Papua New Guinea,94323,4,598,East Asia & Pacific
Paraguay,109175,5,600,Latin America & Caribbean
Peru,9855806.120000001,16,604,Latin America & Caribbean
Philippines,166943,2,608,East Asia & Pacific
Sierra Leone,69714,2,694,Sub-Saharan Africa
Solomon Islands,856,1,90,East Asia & Pacific
Tanzania,123236,2,834,Sub-Saharan Africa
Tanzania. United Republic of,674251,10,834,Sub-Saharan Africa
Vanuatu,8259,2,548,East Asia & Pacific
Viet Nam,767938,8,704,East Asia & Pacific
Zambia,1800431,4,894,Sub-Saharan Africa
Zimbabwe,784987,1,716,Sub-Saharan Africa
